cluster,label,size,top_keywords,top_titles
57,Unsupervised Learning / Representation Learning / Deep learning / Computer vision / Developments,85795,"Unsupervised Learning, Representation Learning, Deep learning, Computer vision, Developments","Deep Learning for Visual Understanding: A Review. || Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-shot Learning || Ivs-Net: Learning Human View Synthesis from Internet Videos || The ""something Something"" Video Database for Learning and Evaluating Visual Common Sense. || DINOv2: Learning Robust Visual Features Without Supervision"
36,Transfer Learning / Visual Recognition / Representation Learning / Deep learning / Layer collapse,7509,"Transfer Learning, Visual Recognition, Representation Learning, Deep learning, Layer collapse",Lingvo: a Modular and Scalable Framework for Sequence-to-Sequence Modeling || Layerfold: A Python Library to Reduce the Depth of Neural Networks || LVM-Med: Learning Large-Scale Self-Supervised Vision Models for Medical Imaging Via Second-order Graph Matching || Large-scale Robust Deep AUC Maximization: A New Surrogate Loss and Empirical Studies on Medical Image Classification || VLMo: Unified Vision-Language Pre-Training with Mixture-of-Modality-Experts
79,Training / Data models / Wireless communication / Internet of Things / Resource management,7391,"Training, Data models, Wireless communication, Internet of Things, Resource management",Federated Learning over Wireless IoT Networks with Optimized Communication and Resources || Scheduling Policies for Federated Learning in Wireless Networks || Device Scheduling with Fast Convergence for Wireless Federated Learning || Machine Intelligence at the Edge with Learning Centric Power Allocation || Distributed Learning in Wireless Networks: Recent Progress and Future Challenges
55,Internet of Things / edge computing / Blockchain / Machine learning / Servers,7331,"Internet of Things, edge computing, Blockchain, Machine learning, Servers",Federated Machine Learning for Intelligent IoT Via Reconfigurable Intelligent Surface || SHT-based Public Auditing Protocol with Error Tolerance in FDL-empowered IoVs || SPACE4AI-D: A Design-time Tool for AI Applications Resource Selection in Computing Continua || Federated Learning with Dynamic Epoch Adjustment and Collaborative Training in Mobile Edge Computing || Next-Generation Consumer Electronics Data Auditing Scheme Toward Cloud-Edge Distributed and Resilient Machine Learning
16,Feature extraction / Convolution / Training / Hyperspectral imaging / Transformers,7293,"Feature extraction, Convolution, Training, Hyperspectral imaging, Transformers",Multi-Level Feature Extraction Networks for Hyperspectral Image Classification || On the Selective and Invariant Representation of DCNN for High-Resolution Remote Sensing Image Recognition. || A Unified Multiscale Learning Framework for Hyperspectral Image Classification || Global-Local Multi-Granularity Transformer for Hyperspectral Image Classification || Learning a Multi-Scale Vision Mamba for Weather-Degraded Remote Sensing Image Restoration
37,Representation Learning / Transfer Learning / Multimedia / deep learning / distributed training,7129,"Representation Learning, Transfer Learning, Multimedia, deep learning, distributed training",Deep Learning for Fixed Model Reuse. || Deep Learning at Scale and at Ease || MDCS: More Diverse Experts with Consistency Self-distillation for Long-tailed Recognition || Singa: Putting Deep Learning In The Hands Of Multimedia Users || Heterogeneous Few-Shot Model Rectification with Semantic Mapping
76,Federated learning / Optimization / Internet of Things / Computational modeling / Training,6635,"Federated learning, Optimization, Internet of Things, Computational modeling, Training",Enabling Resource-efficient AIoT System with Cross-level Optimization: A Survey || A Data Stream Ensemble Assisted Multifactorial Evolutionary Algorithm for Offline Data-Driven Dynamic Optimization. || Resilient Monotone Submodular Function Maximization. || PI-Fed: Continual Federated Learning with Parameter-Level Importance Aggregation || Statistical Learning Theory for Control: A Finite Sample Perspective.
78,Decision making / Multi-scale information system / Data models / Numerical models / Resource management,6270,"Decision making, Multi-scale information system, Data models, Numerical models, Resource management",A Granular Computing-Driven Best–Worst Method for Supporting Group Decision Making || Intuitionistic Fuzzy Dombi Aggregation Information Involving Lower and Upper Approximations || Gray Uncertain Linguistic Multiattribute Group Decision Making Method Based on GCC-HCD || Decision-Making with Unknown Weights for the Performance of Digital Devices in Healthcare Systems Based on Interval Valued T-Spherical Fuzzy Information || A Decision Support System for Surveillance of Smart Cities Via a Novel Aggregation Operator on Intuitionistic Fuzzy Sets
9,Mamba / Remote sensing / light detection and ranging (LiDAR) / deep learning / classification,6218,"Mamba, Remote sensing, light detection and ranging (LiDAR), deep learning, classification",RSMamba: Remote Sensing Image Classification with State Space Model || Learning a Multi-Scale Vision Mamba for Weather-Degraded Remote Sensing Image Restoration || Deep Learning in Multimodal Remote Sensing Data Fusion: A Comprehensive Review || Sal²RN: A Spatial–Spectral Salient Reinforcement Network for Hyperspectral and LiDAR Data Fusion Classification || Multimodal Transformer Network for Hyperspectral and LiDAR Classification.
61,Deep learning / gradient adjustment / remainder / supervised learning / Representation Learning,6171,"Deep learning, gradient adjustment, remainder, supervised learning, Representation Learning",Learning to Minimize the Remainder in Supervised Learning || Hybrid Representation Learning Via Epistemic Graph. || Learning Low-Rank Sparse Representations with Robust Relationship Inference for Image Memorability Prediction || GradMix: Multi-source Transfer Across Domains and Tasks. || Hyperspherical Consistency Regularization.
54,Federated learning / Federated Learning / Training / Convergence / Data models,6002,"Federated learning, Federated Learning, Training, Convergence, Data models",Slashing Communication Traffic in Federated Learning by Transmitting Clustered Model Updates || EV-FL: Efficient Verifiable Federated Learning with Weighted Aggregation for Industrial IoT Networks || ShapleyFL: Robust Federated Learning Based on Shapley Value. || Client Selection for Federated Learning with Non-IID Data in Mobile Edge Computing || FlexiFed: Personalized Federated Learning for Edge Clients with Heterogeneous Model Architectures
63,Federated Learning / learning / Signal Processing on Graphs / Knowledge Graph Embedding / Representation Learning,5996,"Federated Learning, learning, Signal Processing on Graphs, Knowledge Graph Embedding, Representation Learning",Personalized Cross-Silo Federated Learning on Non-IID Data. || Fully Decentralized Joint Learning Of Personalized Models And Collaboration Graphs || Scaling Attributed Network Embedding to Massive Graphs. || Communication-Efficient Distributed Deep Metric Learning with Hybrid Synchronization || Improving Availability of Vertical Federated Learning: Relaxing Inference on Non-overlapping Data
15,Data models / Monitoring / Software / Software systems / Automotive engineering,5914,"Data models, Monitoring, Software, Software systems, Automotive engineering","MLOps for Developing Machine-Learning-Enhanced Automotive Applications: Experience at the Bosch Cross-Domain Computing Solutions Division. || Verifire: Verifying an Industrial, Learning-Based Wildfire Detection System || Machine Learning Lineage for Trustworthy Machine Learning Systems: Information Framework for MLOps Pipelines. || Data Augmentation: A Comprehensive Survey of Modern Approaches || Explainable AI for Software Engineering"
