cluster,label,size,top_keywords,top_titles
23,Internet of Things / Security / Machine learning / IoT security / edge-based IIoT,3516,"Internet of Things, Security, Machine learning, IoT security, edge-based IIoT",Machine Learning for Healthcare-IoT Security: A Review and Risk Mitigation || State-of-the-art Survey of Artificial Intelligent Techniques for IoT Security || Machine Learning-Based Network Vulnerability Analysis of Industrial Internet of Things. || A Privacy-Aware Framework for Detecting Cyber Attacks on Internet of Medical Things Systems Using Data Fusion and Quantum Deep Learning || An Intrusion Detection System for the Internet of Things Based on Machine Learning: Review and Challenges
3,Medical image segmentation / CNN / universal medical image segmentation / large diversity / support set retrieval,3271,"Medical image segmentation, CNN, universal medical image segmentation, large diversity, support set retrieval",NeighborNet: Learning Intra- and Inter-Image Pixel Neighbor Representation for Breast Lesion Segmentation || HI-Net: Liver Vessel Segmentation with Hierarchical Inter-Scale Multi-Scale Feature Fusion || MSFM-UNET: Enhancing Medical Image Segmentation with Multi-Scale and Multi-View Frequency Fusion || FedATA: Adaptive Attention Aggregation for Federated Self-supervised Medical Image Segmentation || Multi-perspective Feature Compensation Enhanced Network for Medical Image Segmentation
25,Hyperspectral imaging / Feature extraction / Transformers / hyperspectral image (HSI) classification / Convolution,3008,"Hyperspectral imaging, Feature extraction, Transformers, hyperspectral image (HSI) classification, Convolution",Hyperspectral Image Classification Using Groupwise Separable Convolutional Vision Transformer Network || Global-Local Multi-Granularity Transformer for Hyperspectral Image Classification || 3-D Channel and Spatial Attention Based Multiscale Spatial–Spectral Residual Network for Hyperspectral Image Classification || Dual-feature Attention-Based Contrastive Prototypical Clustering for Multimodal Remote Sensing Data || Spatial-Spectral Enhancement and Fusion Network for Hyperspectral Image Classification with Few Labeled Samples
0,federated learning / split learning / Internet of Medical Things (IoMT) / Threat detection / Smart healthcare systems,2819,"federated learning, split learning, Internet of Medical Things (IoMT), Threat detection, Smart healthcare systems",XSRU-IoMT: Explainable Simple Recurrent Units for Threat Detection in Internet of Medical Things Networks || FedNILM: Applying Federated Learning to NILM Applications at the Edge || End-to-End Evaluation of Federated Learning and Split Learning for Internet of Things || A Simple Federated Learning-Based Scheme for Security Enhancement over Internet of Medical Things. || Computation Offloading for Edge-Assisted Federated Learning
21,Optimization / Emerging HPC applications /  Deep learning methods /  I/O patterns /  I/O optimization,2770,"Optimization, Emerging HPC applications,  Deep learning methods,  I/O patterns,  I/O optimization",Understanding and Leveraging the I/O Patterns of Emerging Machine Learning Analytics || DNNBrain: A Unifying Toolbox for Mapping Deep Neural Networks and Brains || Scaling Representation Learning from Ubiquitous ECG with State-Space Models || Machine Learning Training on a Real Processing-in-Memory System || Ten Quick Tips for Deep Learning in Biology
35,Electroencephalography / Emotion recognition / emotion recognition / Deep learning / deep learning,2730,"Electroencephalography, Emotion recognition, emotion recognition, Deep learning, deep learning","EEGFuseNet: Hybrid Unsupervised Deep Feature Characterization and Fusion for High-Dimensional EEG with an Application to Emotion Recognition. || AV+EC 2015: the First Affect Recognition Challenge Bridging Across Audio, Video, and Physiological Data || CSF-GTNet: A Novel Multi-Dimensional Feature Fusion Network Based on Convnext-GeLU- BiLSTM for EEG-Signals-Enabled Fatigue Driving Detection. || Deep Learning for Human Affect Recognition: Insights and New Developments. || PhysKANNet: A KAN-based Model for Multiscale Feature Extraction and Contextual Fusion in Remote Physiological Measurement"
15,Deep learning / remote sensing / deep learning / satellite image time series / Satellite image time series,2378,"Deep learning, remote sensing, deep learning, satellite image time series, Satellite image time series","DuPLO: A DUal View Point Deep Learning Architecture for Time Series Classification || Improving Geological Remote Sensing Interpretation Via Optimal Transport-Based Point–Surface Data Fusion || Assessing Water Quality Environmental Grades Using Hyperspectral Images and a Deep Learning Model: A Case Study in Jiangsu, China || GLA-STDeepLab: SAR Enhancing Glacier and Ice Shelf Front Detection Using Swin-TransDeepLab with Global–Local Attention || $M^3\text{fusion}$: A Deep Learning Architecture for Multiscale Multimodal Multitemporal Satellite Data Fusion"
18,Cardiovascular diseases / Deep learning / Data integration / Data mining / Data processing,2330,"Cardiovascular diseases, Deep learning, Data integration, Data mining, Data processing","MDF-Net for Abnormality Detection by Fusing X-rays with Clinical Data || On Responsible Machine Learning Datasets Emphasizing Fairness, Privacy and Regulatory Norms with Examples in Biometrics and Healthcare || The Role of Machine Learning in Scientific Workflows || Autoencoders and Their Applications in Machine Learning: a Survey || GLocalX - from Local to Global Explanations of Black Box AI Models."
12,deep learning / Deep learning / Data fusion / land cover mapping / Sentinel-2,2258,"deep learning, Deep learning, Data fusion, land cover mapping, Sentinel-2",$M^3\text{fusion}$: A Deep Learning Architecture for Multiscale Multimodal Multitemporal Satellite Data Fusion || DuPLO: A DUal View Point Deep Learning Architecture for Time Series Classification || A CNN-Based Fusion Method for Feature Extraction from Sentinel Data || Improving Leaf Area Index Retrieval Using Multi-Sensor Images and Stacking Learning in Subtropical Forests of China || Estimating the NDVI from SAR by Convolutional Neural Networks
4,Federated learning (FedL) / distributed learning / network optimization / Wireless Sensor Networks / Wireless communication,2252,"Federated learning (FedL), distributed learning, network optimization, Wireless Sensor Networks, Wireless communication","Device Sampling and Resource Optimization for Federated Learning in Cooperative Edge Networks || Device Sampling for Heterogeneous Federated Learning: Theory, Algorithms, and Implementation. || The Hexa-X Project Vision on Artificial Intelligence and Machine Learning-Driven Communication and Computation Co-Design for 6G. || Wireless for Machine Learning: A Survey. || Learning Gradient Descent: Better Generalization and Longer Horizons"
27,Transportation / Explainable AI / Security / Performance evaluation / Privacy,2213,"Transportation, Explainable AI, Security, Performance evaluation, Privacy","Towards Scalable, Secure, and Smart Mission-Critical IoT Systems: Review and Vision : (special Session Paper) || A Machine Learning Security Framework for Iot Systems || An Explainable Multi-Modal Model for Advanced Cyber-Attack Detection in Industrial Control Systems || Explainable Unsupervised Machine Learning for Cyber-Physical Systems || TEA-EKHO-IDS: an Intrusion Detection System for Industrial CPS with Trustworthy Explainable AI and Enhanced Krill Herd Optimization."
10,Representation Learning / Visual Question Answering / Meta-Learning / Semi-Supervised Learning / Image Captioning,1992,"Representation Learning, Visual Question Answering, Meta-Learning, Semi-Supervised Learning, Image Captioning",Scaling Up Visual and Vision-Language Representation Learning with Noisy Text Supervision. || UFO: A UniFied TransfOrmer for Vision-Language Representation Learning || Behind the Scene: Revealing the Secrets of Pre-trained Vision-and-Language Models || Intriguing Properties of Generative Classifiers || Augmenting Supervised Neural Networks with Unsupervised Objectives for Large-scale Image Classification.
8,Deep-learning / Medical image annotation / Annotation by iterative deep learing (AID) / Segmentation / Classification,1836,"Deep-learning, Medical image annotation, Annotation by iterative deep learing (AID), Segmentation, Classification",RIL-Contour: a Medical Imaging Dataset Annotation Tool for and with Deep Learning || Toolkits and Libraries for Deep Learning || MONAI: An open-source framework for deep learning in healthcare || FedDP: Dual Personalization in Federated Medical Image Segmentation. || UFO: A UniFied TransfOrmer for Vision-Language Representation Learning
19,Neuroimaging / Data models / fMRI / Deep learning / Sensitivity and specificity,1663,"Neuroimaging, Data models, fMRI, Deep learning, Sensitivity and specificity",Deep Learning in Neuroimaging: Promises and Challenges || Brainformer: Mimic Human Visual Brain Functions to Machine Vision Models Via Fmri || Integrating Multimodal and Longitudinal Neuroimaging Data with Multi-Source Network Representation Learning. || Decentralized Analysis of Brain Imaging Data: Voxel-Based Morphometry and Dynamic Functional Network Connectivity || Interpretable Multimodal Fusion Networks Reveal Mechanisms of Brain Cognition
17,Deep learning / Ensemble learning / Feature extraction / Electrocardiogram / Multiple instance learning,1600,"Deep learning, Ensemble learning, Feature extraction, Electrocardiogram, Multiple instance learning",Automatic Diagnosis of Arrhythmia with Electrocardiogram Using Multiple Instance Learning: from Rhythm Annotation to Heartbeat Prediction. || Medical Pathologies Prediction : Systematic Review and Proposed Approach || Explainable AI Assisted Heart Disease Diagnosis Through Effective Feature Engineering and Stacked Ensemble Learning || A Survey of Multimodal Information Fusion for Smart Healthcare: Mapping the Journey from Data to Wisdom || Explainable Detection of Myocardial Infarction Using Deep Learning Models with Grad-CAM Technique on ECG Signals
14,remote sensing / Augmentation / land cover / Machine learning / Sentinel-2 MSI,1425,"remote sensing, Augmentation, land cover, Machine learning, Sentinel-2 MSI","Soil Salinity Mapping Using Machine Learning Algorithms with the Sentinel-2 MSI in Arid Areas, China || Big Data-driven MLOps Workflow for Annual High-Resolution Land Cover Classification Models || A Unified Super-Resolution Framework of Remote Sensing Satellite Images Classification Based on Information Fusion of Novel Deep Convolutional Neural Network Architectures || Integrating Multitemporal Sentinel-1/2 Data for Coastal Land Cover Classification Using a Multibranch Convolutional Neural Network: A Case of the Yellow River Delta || A Novel Network Level Fusion Architecture of Proposed Self-Attention and Vision Transformer Models for Land Use and Land Cover Classification from Remote Sensing Images"
13,Deep learning / Training / Domain generalization / Bayesian inference / Domain invariance,1241,"Deep learning, Training, Domain generalization, Bayesian inference, Domain invariance",Knowledge Distillation-Based Domain Generalization Enabling Invariant Feature Distributions for Damage Detection of Rotating Machines and Structures || Label-efficient Time Series Representation Learning: A Review || 1D Convolutional Neural Networks and Applications: A Survey || A Comparative Study of Deep and Shallow Predictive Techniques for Hot Metal Temperature Prediction in Blast Furnace Ironmaking || Deep Latent-Variable Kernel Learning
